Reference, Quantity, Value, Footprint, Datasheet, Category, DK_Datasheet_Link, DK_Detail_Page, Description, Digi-Key_PN, Family, MPN, Manufacturer, Status, Field4, Field5, Field6
CON4 CON5 CON6 CON7 CON3 CON2 CON1 ,7,"SJ1-3523N","digikey-footprints:Headphone_Jack_3.5mm_SJ1-3523N","https://www.cui.com/product/resource/digikeypdf/sj1-352xn_series.pdf","Connectors, Interconnects","https://www.cui.com/product/resource/digikeypdf/sj1-352xn_series.pdf","/product-detail/en/cui-inc/SJ1-3523N/CP1-3523N-ND/738689","CONN JACK STEREO 3.5MM R/A","CP1-3523N-ND","Barrel - Audio Connectors","SJ1-3523N","CUI Inc.","Active","","",""
D11 ,1,"D_Photo","libraries:PHODET_PDV-P8103","~"
D3 D5 D7 D9 D1 ,5,"1N4001","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
D4 D6 D8 D10 D2 ,5,"LED","libraries:CAPPRD350W60D800H2000","~"
J1 ,1,"703W-00_52","703W-00_52:52","Qualtek","","","","","","","","","","B","Manufacturer Recommendations",""
J2 J4 J6 J8 J10 ,5,"3-213598-2","3-213598-2:TE_3-213598-2","https://www.te.com/usa-en/product-3-213598-2.html?te_bu=Cor&te_type=disp&te_campaign=seda_glo_cor-seda-global-disp-prtnr-fy19-seda-model-bom-cta_sma-317_1&elqCampaignId=32493","","","","","","","","","","Compliant","3-213598-2","Convenience Outlet"
K2 K3 K4 K5 K1 ,5,"T9AS1D12-15","T9AS1D12-15:RELAY_T9AS1D12-15","https://www.te.com/usa-en/product-1-1393210-4.html?te_bu=Cor&te_type=disp&te_campaign=seda_glo_cor-seda-global-disp-prtnr-fy19-seda-model-bom-cta_sma-317_1&elqCampaignId=32493","","","","","","","","","","1-1393210-4","",""
Q1 ,1,"ULN2003AN","digikey-footprints:DIP-16_W7.62mm","http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fuln2003a","Discrete Semiconductor Products","http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fuln2003a","/product-detail/en/texas-instruments/ULN2003AN/296-1979-5-ND/277624","IC PWR RELAY 7NPN 1:1 16DIP","296-1979-5-ND","Transistors - Bipolar (BJT) - Arrays","ULN2003AN","Texas Instruments","Active","","",""
R2 R3 R4 R5 R1 ,5,"1 Ohm","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
R7 ,1,"10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
R8 R9 R10 R6 ,4,"4.7k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
U1 ,1,"IRM-30-12","IRM-30-12:IRM-30-12",""
U2 U3 ,2,"PPTC151LFBN-RC","PPTC151LFBN-RC:PPTC151LFBN-RC",""
